id,REGION,EDUCATIONFOURRANGES,POLITICAL3RANGES,RACEETHNICITY5RANGES,RELIGION
507.0,2.0,4.0,1.0,4.0,1.0
499.0,2.0,3.0,2.0,4.0,1.0
494.0,3.0,4.0,2.0,4.0,1.0
62.0,4.0,4.0,2.0,4.0,5.0
64.0,3.0,4.0,3.0,1.0,1.0
72.0,1.0,4.0,3.0,5.0,4.0
83.0,1.0,2.0,1.0,4.0,1.0
92.0,3.0,4.0,2.0,4.0,5.0
94.0,4.0,3.0,3.0,4.0,2.0
97.0,2.0,4.0,1.0,4.0,1.0
98.0,3.0,4.0,2.0,4.0,1.0
102.0,3.0,3.0,1.0,4.0,1.0
114.0,3.0,4.0,3.0,4.0,5.0
122.0,4.0,3.0,3.0,4.0,4.0
148.0,4.0,4.0,2.0,4.0,1.0
150.0,1.0,3.0,3.0,4.0,5.0
159.0,1.0,2.0,2.0,4.0,5.0
166.0,4.0,4.0,2.0,5.0,1.0
183.0,4.0,4.0,2.0,4.0,2.0
185.0,4.0,4.0,3.0,4.0,1.0
200.0,3.0,4.0,2.0,4.0,1.0
235.0,4.0,3.0,2.0,4.0,5.0
236.0,3.0,4.0,2.0,1.0,1.0
254.0,3.0,2.0,3.0,4.0,1.0
265.0,4.0,4.0,2.0,4.0,2.0
284.0,2.0,4.0,3.0,4.0,5.0
285.0,3.0,4.0,1.0,3.0,5.0
294.0,1.0,3.0,2.0,4.0,5.0
311.0,2.0,4.0,1.0,4.0,1.0
317.0,3.0,3.0,2.0,2.0,1.0
354.0,1.0,3.0,3.0,5.0,4.0
359.0,3.0,4.0,3.0,1.0,1.0
366.0,4.0,3.0,1.0,2.0,1.0
371.0,3.0,2.0,2.0,5.0,5.0
376.0,4.0,3.0,1.0,4.0,5.0
433.0,4.0,4.0,3.0,2.0,3.0
435.0,1.0,4.0,3.0,4.0,5.0
445.0,4.0,4.0,1.0,4.0,1.0
447.0,4.0,4.0,2.0,2.0,3.0
456.0,4.0,3.0,3.0,4.0,1.0
461.0,4.0,4.0,3.0,4.0,1.0
471.0,3.0,4.0,1.0,4.0,1.0
479.0,1.0,4.0,2.0,4.0,5.0
538.0,3.0,3.0,3.0,4.0,5.0
564.0,2.0,4.0,1.0,4.0,1.0
568.0,1.0,3.0,3.0,4.0,5.0
577.0,3.0,4.0,2.0,2.0,1.0
580.0,4.0,4.0,3.0,4.0,3.0
597.0,2.0,3.0,1.0,4.0,5.0
601.0,2.0,4.0,2.0,4.0,5.0
603.0,4.0,3.0,3.0,4.0,5.0
611.0,4.0,3.0,1.0,4.0,1.0
614.0,1.0,3.0,2.0,4.0,1.0
616.0,2.0,3.0,1.0,4.0,1.0
622.0,1.0,4.0,2.0,4.0,5.0
626.0,1.0,4.0,1.0,4.0,5.0
630.0,2.0,3.0,2.0,4.0,1.0
632.0,2.0,4.0,3.0,4.0,1.0
641.0,1.0,3.0,2.0,4.0,5.0
643.0,2.0,4.0,2.0,4.0,1.0
645.0,4.0,4.0,1.0,4.0,1.0
647.0,1.0,3.0,3.0,4.0,5.0
651.0,2.0,2.0,3.0,4.0,1.0
652.0,4.0,4.0,3.0,4.0,5.0
661.0,2.0,4.0,3.0,4.0,1.0
672.0,3.0,4.0,2.0,2.0,4.0
675.0,4.0,4.0,3.0,5.0,2.0
682.0,3.0,3.0,3.0,4.0,5.0
700.0,4.0,3.0,1.0,4.0,1.0
709.0,1.0,4.0,2.0,3.0,1.0
711.0,2.0,4.0,3.0,4.0,1.0
725.0,3.0,4.0,3.0,4.0,2.0
744.0,3.0,3.0,2.0,4.0,1.0
768.0,3.0,3.0,1.0,4.0,1.0
779.0,2.0,4.0,3.0,4.0,5.0
788.0,3.0,4.0,3.0,4.0,5.0
789.0,3.0,3.0,2.0,4.0,5.0
796.0,1.0,4.0,3.0,5.0,1.0
797.0,3.0,4.0,2.0,4.0,1.0
800.0,1.0,4.0,3.0,4.0,5.0
819.0,4.0,4.0,2.0,2.0,3.0
822.0,1.0,4.0,2.0,4.0,2.0
839.0,4.0,4.0,2.0,2.0,3.0
842.0,2.0,2.0,2.0,4.0,5.0
847.0,4.0,4.0,3.0,4.0,5.0
848.0,2.0,4.0,3.0,2.0,3.0
854.0,4.0,4.0,3.0,4.0,5.0
886.0,1.0,4.0,3.0,4.0,2.0
894.0,4.0,4.0,2.0,4.0,1.0
900.0,3.0,4.0,3.0,2.0,3.0
901.0,1.0,3.0,2.0,1.0,1.0
907.0,1.0,4.0,2.0,2.0,3.0
927.0,3.0,4.0,3.0,2.0,1.0
930.0,3.0,4.0,2.0,4.0,5.0
962.0,4.0,4.0,2.0,4.0,1.0
966.0,1.0,4.0,2.0,4.0,5.0
975.0,3.0,4.0,1.0,4.0,1.0
996.0,4.0,4.0,2.0,2.0,5.0
1007.0,3.0,3.0,1.0,5.0,1.0
1018.0,2.0,3.0,1.0,4.0,4.0
1019.0,1.0,1.0,2.0,4.0,5.0
1021.0,3.0,4.0,2.0,4.0,5.0
1029.0,4.0,2.0,2.0,4.0,5.0
1031.0,4.0,2.0,2.0,4.0,5.0
1047.0,2.0,4.0,2.0,1.0,1.0
1066.0,2.0,4.0,3.0,4.0,1.0
1096.0,3.0,3.0,1.0,4.0,1.0
1106.0,1.0,4.0,3.0,5.0,5.0
1110.0,2.0,4.0,3.0,4.0,4.0
1113.0,4.0,4.0,1.0,4.0,1.0
1129.0,4.0,4.0,2.0,4.0,5.0
1143.0,3.0,4.0,1.0,4.0,1.0
1145.0,2.0,4.0,1.0,4.0,1.0
1149.0,1.0,4.0,1.0,4.0,1.0
1158.0,4.0,4.0,2.0,5.0,1.0
1161.0,4.0,4.0,3.0,4.0,2.0
1163.0,2.0,4.0,3.0,2.0,1.0
1181.0,2.0,3.0,3.0,2.0,3.0
