,id,ALLANIMALPROTECTION,ALLENVIRONMENT,ALLCOST,ALLHEALTH,ALLRELIGIOUSSPIRITUAL,ALLSOCIALINFLUENCE,ALLSOCIALJUSTICEWORLDHUNGER,ALLFOODTREND,ALLDISGUST
0,507.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
1,499.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
2,494.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0
3,62.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0
4,64.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0
5,72.0,3.0,4.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0
6,77.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
7,83.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,5.0
8,92.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,5.0
9,94.0,3.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,4.0
10,97.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
11,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,102.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0
13,114.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0
14,122.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0
15,148.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
16,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,159.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,166.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
19,183.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,185.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0
21,200.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
22,235.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0
23,236.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
24,254.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
25,264.0,,,,,,,,,
26,265.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0
27,284.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0
28,285.0,3.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0
29,294.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0
30,311.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0
31,317.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
32,354.0,3.0,3.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0
33,359.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0
34,366.0,3.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,4.0
35,371.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
36,376.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
37,433.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0
38,435.0,5.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0
