id,ALLANIMALPROTECTION,ALLENVIRONMENT,ALLCOST,ALLHEALTH,ALLRELIGIOUSSPIRITUAL,ALLSOCIALINFLUENCE,ALLSOCIALJUSTICEWORLDHUNGER,ALLFOODTREND,ALLDISGUST
507.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
499.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
494.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0
62.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0
64.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0
72.0,3.0,4.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0
77.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
83.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,5.0
92.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,5.0
94.0,3.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,4.0
97.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0
114.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0
122.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0
148.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
166.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
183.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0
200.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
235.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0
236.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
254.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
264.0,,,,,,,,,
265.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0
284.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0
285.0,3.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0
294.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0
311.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0
317.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
354.0,3.0,3.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0
359.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0
366.0,3.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,4.0
371.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
376.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
433.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0
435.0,5.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0
445.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0
447.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0
456.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0
461.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
471.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
474.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
479.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0
538.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0
564.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
568.0,5.0,5.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0
577.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0
