id,Age,difficulty_during_transition
507,60-80,3
499,60-80,2
494,20-40,3
62,40-60,3
64,40-60,5
72,20-40,2
77,20-40,4
83,0-20,1
92,20-40,2
94,20-40,1
97,20-40,3
98,20-40,1
102,0-20,4
114,20-40,2
122,60-80,2
148,40-60,2
150,40-60,2
159,40-60,2
166,40-60,2
183,60-80,1
185,0-20,2
200,20-40,3
235,60-80,2
236,20-40,3
254,0-20,2
265,40-60,3
284,20-40,2
285,0-20,2
294,40-60,4
311,20-40,4
317,20-40,3
354,0-20,3
359,40-60,1
366,20-40,4
371,20-40,5
376,40-60,2
433,20-40,4
435,40-60,2
445,20-40,5
447,20-40,4
456,0-20,1
461,20-40,4
471,40-60,2
474,80-100,1
479,20-40,3
538,0-20,1
564,20-40,4
568,0-20,1
577,0-20,2
580,20-40,2
597,40-60,1
601,0-20,2
603,60-80,1
604,80-100,3
611,20-40,1
614,60-80,1
616,20-40,4
622,20-40,3
626,20-40,3
630,20-40,4
632,0-20,2
641,20-40,1
643,40-60,2
645,40-60,2
647,0-20,1
651,40-60,4
652,20-40,3
661,40-60,3
672,0-20,1
675,40-60,4
682,20-40,3
700,60-80,3
709,20-40,3
711,20-40,3
712,20-40,3
718,0-20,3
725,60-80,1
744,0-20,3
768,40-60,4
779,20-40,3
788,20-40,5
789,40-60,2
796,20-40,1
797,40-60,4
800,0-20,4
809,60-80,4
819,20-40,3
822,20-40,4
839,0-20,2
842,40-60,3
847,40-60,2
848,0-20,5
854,20-40,3
882,80-100,4
886,20-40,1
894,40-60,2
900,20-40,5
901,40-60,3
907,0-20,5
927,20-40,3
930,40-60,1
962,20-40,5
966,0-20,4
975,40-60,2
996,0-20,1
1007,60-80,4
1018,40-60,3
1019,0-20,4
1021,0-20,2
1029,0-20,5
1031,20-40,2
1047,60-80,2
1066,20-40,4
1096,60-80,4
1098,80-100,3
1102,80-100,4
1106,0-20,2
1110,20-40,2
1113,20-40,3
1129,40-60,3
1143,20-40,3
1145,20-40,2
1149,20-40,2
1158,20-40,1
1161,20-40,1
1163,20-40,5
1181,0-20,1
1182,20-40,5
1190,0-20,5
1194,20-40,3
1212,0-20,1
1213,0-20,4
1221,20-40,4
1228,20-40,3
1238,40-60,4
1242,40-60,4
1250,40-60,4
1254,20-40,2
1259,20-40,1
1261,20-40,3
1262,20-40,2
1264,0-20,4
1267,0-20,1
1269,0-20,2
1273,20-40,1
1285,20-40,1
1286,0-20,2
1288,20-40,2
1298,0-20,1
1300,0-20,5
1305,0-20,2
1319,20-40,1
1324,0-20,4
1326,0-20,1
1328,20-40,2
1335,0-20,1
1346,0-20,4
1351,20-40,2
1352,0-20,4
1363,20-40,1
1389,20-40,4
1395,20-40,4
1403,20-40,3
1435,0-20,1
1451,0-20,2
1454,20-40,5
1456,20-40,2
1461,20-40,4
1462,0-20,2
1463,20-40,1
1466,20-40,3
1467,0-20,2
1478,20-40,4
1480,20-40,1
1482,0-20,3
1506,0-20,3
1511,20-40,4
1513,0-20,2
1524,20-40,1
1526,0-20,2
1528,40-60,1
1533,0-20,3
1535,0-20,4
1536,0-20,4
1546,20-40,4
1547,20-40,3
1549,20-40,1
1571,20-40,4
1573,20-40,5
1575,0-20,2
1583,40-60,4
1601,0-20,4
1620,60-80,2
1630,0-20,2
1661,20-40,2
1665,0-20,3
1668,20-40,4
1685,20-40,1
1688,40-60,3
1705,40-60,1
1708,20-40,2
1711,40-60,5
1722,20-40,2
1728,40-60,2
1743,40-60,1
1748,0-20,3
1749,40-60,1
1755,20-40,4
1761,0-20,5
1768,0-20,1
1770,0-20,3
1775,20-40,1
1801,40-60,3
1808,0-20,1
1817,20-40,4
1823,20-40,1
1831,20-40,1
1855,20-40,2
1857,20-40,1
1879,0-20,2
1888,20-40,2
1890,0-20,3
1894,40-60,1
1914,20-40,3
1915,60-80,1
1926,0-20,4
1927,20-40,3
1929,40-60,3
1941,20-40,3
1959,20-40,3
1968,0-20,2
1971,0-20,3
1992,20-40,2
2024,20-40,1
2027,60-80,1
2063,40-60,3
2064,40-60,3
2066,40-60,5
2072,0-20,1
2079,20-40,1
2086,40-60,2
2091,20-40,1
2100,20-40,1
2105,20-40,3
2106,80-100,2
2108,80-100,2
2121,0-20,1
2130,20-40,3
2168,40-60,4
2177,0-20,1
2183,20-40,5
2189,20-40,2
2198,20-40,1
2222,0-20,3
2223,20-40,4
2224,60-80,4
2229,40-60,1
2246,60-80,1
2256,40-60,4
2260,40-60,4
2265,20-40,2
2266,20-40,2
2281,40-60,1
2289,40-60,2
2302,60-80,3
2314,40-60,1
2332,60-80,3
2344,20-40,1
2347,20-40,3
2349,60-80,1
2360,0-20,2
2392,20-40,2
2397,0-20,3
2403,0-20,1
2406,20-40,2
2410,20-40,1
2418,0-20,4
2419,0-20,3
2421,40-60,4
2444,0-20,2
2466,20-40,4
2475,20-40,5
2476,0-20,2
2481,60-80,5
2485,20-40,2
2496,40-60,3
2497,60-80,2
2502,0-20,1
2505,0-20,2
2507,60-80,3
2513,60-80,3
2518,40-60,5
2531,0-20,1
2540,40-60,1
2546,80-100,1
2554,20-40,1
2556,20-40,3
2558,20-40,3
2565,20-40,4
2589,0-20,3
2607,40-60,3
2627,40-60,2
2629,60-80,1
2636,20-40,1
2660,40-60,4
2666,20-40,4
2685,20-40,2
2686,20-40,4
2707,20-40,2
