city,lat,long
Clearwater,27.971165,-82.696938
Louisville,38.25702035,-85.76001328
Puyallup,47.154828,-122.303992
Oberlin,41.29082277,-82.21764028
Pleasant Hill,37.94566339,-122.0619969
Houston,29.7336,-95.4146
Nashville,36.11988,-86.718505
Orfordville,42.635024,-89.2681673
Oxford,34.36802,-89.51839
Northbrook,42.151959,-87.821541
Indianapolis,39.869489,-86.146425
Boston,42.360313,-71.07081
Delta,41.574067,-84.007303
Omaha,41.257512,-95.96932
Waite Park,45.553367,-94.222893
Berea,41.372713,-81.861268
New Haven,41.306473,-72.92925
Roy,41.161688,-112.02635
Beverly Hills,34.063736,-118.39906
Brooklyn,40.613661,-74.032944
Rockport,44.187611,-69.080978
Port Washington,43.38859854,-87.86843777
Lakewood,41.48528552,-81.8001169
Richmond,37.5078,-77.61048
New York,40.742497,-73.982924
Ann Arbor,42.2786379,-83.748629
El Dorado Hills,38.710194,-121.08649
New York City,40.72,-73.99
Boca Raton,26.368259,-80.079496
Austin,30.295368,-97.742054
Raleigh,35.864586,-78.57033
New York,40.729355,-73.99889
San Francisco,37.800114,-122.43395
Cleburne,32.343822,-97.38574
Irvine,33.70622,-117.78608
Pittsburgh,40.439189,-79.95552
Homestead,25.291986,-80.610489
Cypress,29.98436,-95.726364
N Eastham,41.87687874,-69.986981
Fort Worth,32.857124,-97.311713
Richardson,32.977234,-96.73896
Herndon,38.97007553,-77.37533744
Falls Church,38.875165,-77.2009447
New York,40.73792,-73.996636
Kew Gardens,40.70884,-73.83047
Gilbert,33.33222,-111.806915
Vashon,47.445293,-122.4605
Huntington Beach,33.71566,-117.99121
New Orleans,29.94,-90.07
Austin,30.134521,-97.797746
Tacoma,47.27108,-122.48888
Los Angeles,34.0551574,-118.3870717
Tustin,33.742073,-117.82253
Chaska,44.78849,-93.60154
Irvine,33.70622,-117.78608
Grand Prairie,32.6759561,-97.0069343
Massapequa Park,40.67795,-73.4561
Denville,40.89117917,-74.4750301
Brooklyn,40.7038325,-73.9410228
Los Angeles,34.0200276,-118.2869327
San Antonio,29.561407,-98.589474
Gulfport,27.740406,-82.707436
New York,40.806047,-73.956346
Torrance,33.83081,-118.29023
Seattle,47.620018,-122.3209
San Antonio,29.534328,-98.450424
Farmers Branch,32.9135849,-96.8731514
Brownsville,25.970621,-97.513984
Brooklyn,40.714718,-73.961358
New York,40.74045,-74.00202
Columbus,40.00031,-82.93268
New York,40.7303,-73.98334
Matawan,40.406914,-74.23399
Ann Arbor,42.245075,-83.6996
Houston,29.816671,-95.464829
Salt Lake City,40.70257,-111.85171
San Antonio,29.5465482,-98.3667046
Boston,42.344154,-71.07129
Brooklyn,40.650753,-73.95608
Los Angeles,34.076432,-118.350776
Jackson,43.481014,-110.76371
Torrance,33.83081,-118.29023
Lancaster,34.67489,-118.15114
Humble,30.004982,-95.255855
Miami,41.0448473,-71.9329669
Brockport,43.214825,-77.93847
