city,number_of_restaurants
New York,340
Brooklyn,219
Chicago,191
Los Angeles,183
Houston,149
Seattle,145
Portland,142
Philadelphia,132
Austin,132
San Francisco,117
Atlanta,94
Miami,82
Columbus,79
San Diego,79
Las Vegas,71
Denver,63
Washington,63
Baltimore,62
Dallas,61
Pittsburgh,56
Boston,52
Albuquerque,52
Cleveland,52
Cincinnati,52
Orlando,50
Minneapolis,49
Arlington,48
Sacramento,45
Salt Lake City,45
Richmond,44
Phoenix,43
Nashville,43
Eugene,43
Charlotte,42
Cambridge,40
Rochester,38
San Jose,37
San Antonio,35
Santa Monica,34
Oakland,33
Berkeley,32
Jacksonville,32
Honolulu,32
Long Beach,32
Milwaukee,32
Boulder,32
Indianapolis,31
Madison,31
Sanfrancisco,31
Losangeles,30
Decatur,29
New Orleans,29
Santa Fe,29
Tampa,28
Kansas City,27
Memphis,27
Tucson,27
Manhattan,27
Raleigh,27
Scottsdale,26
St Louis,26
Charleston,26
Springfield,26
Lakewood,26
Louisville,25
Detroit,25
Lexington,25
Ann Arbor,24
New York City,24
Fort Lauderdale,23
Pasadena,23
Gainesville,23
Columbia,22
Salem,22
Albany,22
Fort Worth,22
Birmingham,22
Fresno,22
Marietta,22
W Palm Beach,22
Jackson,22
Omaha,22
Miami Beach,21
Roseville,21
Fairfield,20
Sedona,20
Aurora,20
Bellevue,20
Dayton,19
Greenville,19
Asheville,19
Lincoln,18
Bloomington,18
Lancaster,18
Baton Rouge,17
Chattanooga,17
Duluth,17
Tallahassee,17
Frisco,17
Plano,17
Hollywood,17
Oklahoma City,17
Venice,17
Flushing,17
Wilmington,16
Somerville,16
Redmond,16
Irving,16
Glendale,16
Bethesda,16
Fort Collins,16
Alpharetta,16
Riverside,16
Astoria,16
Tempe,16
Buffalo,15
Burlington,15
Sunnyvale,15
Richardson,15
Torrance,15
Westminster,15
Anaheim,15
Culver City,15
Cherry Hill,14
Monroe,14
Myrtle Beach,14
Newyork,14
W Hollywood,14
Tulsa,14
Syracuse,14
New Brunswick,14
Boca Raton,14
New Haven,14
Savannah,14
Knoxville,14
Fayetteville,14
Lafayette,14
Plymouth,13
Burbank,13
Chapel Hill,13
Peoria,13
Orange,13
Sarasota,13
Colorado Springs,13
Flagstaff,13
Huntington Beach,13
Middletown,13
Little Rock,13
Newark,13
Vancouver,12
Cary,12
Irvine,12
Studio City,12
Princeton,12
Sherman Oaks,12
Spokane,12
Newport,12
Alexandria,12
Greensboro,12
Fairfax,12
Fort Myers,12
Denton,12
Virginia Beach,12
Naples,12
El Paso,12
Bronx,12
Champaign,12
Independence,11
Hillsboro,11
Bridgeport,11
Lubbock,11
St. Louis,11
Framingham,11
Santa Rosa,11
Durham,11
Chandler,11
Beverly Hills,11
Bend,11
Charlottesville,11
Rockville,11
Medford,11
Grand Rapids,11
Santa Barbara,11
Canton,11
Des Moines,11
Tacoma,11
College Park,11
Saint Augustine,11
Addison,10
Bethlehem,10
Ithaca,10
San Luis Obispo,10
El Segundo,10
Key W,10
Jamaica,10
Gilbert,10
Shreveport,10
Bryn Mawr,10
Huntsville,10
Bossier City,10
Covington,10
Florence,10
Jersey City,10
Reno,10
Portsmouth,10
Winter Park,10
