id,ALLLENGTH,ALLTRANSITION,ALLINCONVENIENCE4D,ALLINCONVENIENCE3D
507.0,1.0,1.0,0.0,1.0
499.0,1.0,6.0,0.0,0.0
494.0,3.0,3.0,1.0,0.0
62.0,1.0,6.0,0.0,0.0
64.0,1.0,1.0,0.0,1.0
72.0,3.0,1.0,0.0,0.0
77.0,2.0,2.0,0.0,1.0
83.0,5.0,3.0,0.0,1.0
92.0,6.0,3.0,0.0,1.0
94.0,6.0,3.0,0.0,0.0
97.0,1.0,6.0,1.0,0.0
98.0,6.0,6.0,1.0,0.0
102.0,4.0,6.0,0.0,0.0
114.0,2.0,1.0,1.0,1.0
122.0,2.0,2.0,0.0,1.0
148.0,3.0,3.0,0.0,1.0
150.0,7.0,6.0,1.0,0.0
159.0,1.0,6.0,0.0,0.0
166.0,7.0,6.0,0.0,0.0
183.0,1.0,1.0,0.0,0.0
185.0,6.0,3.0,0.0,0.0
200.0,1.0,5.0,0.0,0.0
235.0,3.0,1.0,0.0,0.0
236.0,1.0,2.0,0.0,0.0
254.0,1.0,1.0,0.0,0.0
265.0,2.0,2.0,1.0,1.0
284.0,6.0,3.0,1.0,1.0
285.0,1.0,1.0,0.0,0.0
294.0,2.0,1.0,0.0,1.0
311.0,1.0,1.0,0.0,0.0
317.0,7.0,6.0,0.0,0.0
354.0,3.0,1.0,0.0,0.0
359.0,1.0,3.0,0.0,0.0
366.0,1.0,1.0,0.0,0.0
371.0,7.0,6.0,1.0,1.0
376.0,4.0,1.0,0.0,0.0
433.0,1.0,2.0,0.0,1.0
435.0,3.0,3.0,0.0,0.0
445.0,6.0,1.0,0.0,1.0
447.0,2.0,1.0,0.0,1.0
456.0,6.0,2.0,0.0,0.0
461.0,1.0,1.0,0.0,0.0
471.0,1.0,1.0,1.0,0.0
479.0,2.0,6.0,0.0,0.0
538.0,5.0,1.0,0.0,0.0
564.0,3.0,1.0,1.0,1.0
568.0,6.0,5.0,0.0,0.0
577.0,7.0,6.0,0.0,1.0
580.0,1.0,1.0,0.0,0.0
597.0,7.0,6.0,0.0,0.0
601.0,7.0,6.0,0.0,0.0
603.0,2.0,1.0,0.0,0.0
611.0,6.0,5.0,0.0,0.0
614.0,1.0,1.0,0.0,0.0
616.0,3.0,3.0,0.0,1.0
622.0,3.0,3.0,0.0,1.0
626.0,1.0,1.0,0.0,1.0
630.0,3.0,2.0,0.0,1.0
632.0,6.0,1.0,0.0,0.0
641.0,2.0,4.0,0.0,0.0
