id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
507.0,5,5,5,3,1,5,3
499.0,1,1,3,1,1,1,1
494.0,1,1,3,5,1,1,3
62.0,1,3,3,3,1,1,3
64.0,1,1,5,1,1,1,5
72.0,1,1,1,1,1,1,1
77.0,5,5,5,3,1,1,5
83.0,1,1,5,3,1,1,1
92.0,1,1,5,1,1,1,1
94.0,1,1,1,1,1,1,1
97.0,1,1,1,5,1,1,3
98.0,1,1,1,5,1,1,1
102.0,3,3,3,1,3,1,5
114.0,5,5,5,5,5,1,1
122.0,3,3,5,1,1,1,1
148.0,3,3,5,1,1,1,1
150.0,1,1,1,5,1,1,1
159.0,5,5,3,1,3,1,1
166.0,3,1,1,3,1,1,1
183.0,1,1,1,3,1,1,1
185.0,1,5,1,1,5,1,1
200.0,3,3,3,3,3,3,3
235.0,1,1,3,1,1,1,1
236.0,3,3,3,3,3,3,3
254.0,5,5,3,3,1,1,1
265.0,1,1,5,5,5,1,3
284.0,1,1,5,5,1,1,1
285.0,5,1,1,1,1,1,1
294.0,5,5,5,1,5,5,5
311.0,1,5,3,3,1,1,5
317.0,3,3,3,3,3,3,3
354.0,1,1,1,1,5,1,3
359.0,1,1,1,1,1,1,1
366.0,1,5,1,1,1,3,5
371.0,5,5,5,5,3,1,5
376.0,1,1,1,3,5,1,1
433.0,3,5,5,3,1,1,5
435.0,1,1,1,1,5,1,1
445.0,3,1,5,1,5,1,5
447.0,5,1,5,1,5,1,5
456.0,1,1,1,1,5,1,1
461.0,1,1,1,1,5,1,5
471.0,3,3,3,5,1,5,1
474.0,1,5,5,1,1,1,1
479.0,5,5,3,1,3,3,3
538.0,1,1,1,1,1,1,1
564.0,3,5,5,5,1,1,5
568.0,1,1,1,1,1,1,1
577.0,1,3,5,3,5,1,1
580.0,1,1,1,1,1,1,1
597.0,1,1,1,1,1,1,1
601.0,3,1,1,3,1,5,1
603.0,1,1,1,1,5,1,1
604.0,5,5,5,1,5,1,3
611.0,1,1,1,1,1,1,1
614.0,1,1,1,1,1,1,1
616.0,5,5,5,1,5,1,5
622.0,1,3,5,1,1,1,3
626.0,3,3,5,1,5,3,3
630.0,5,1,5,1,5,5,5
632.0,1,1,1,1,1,1,1
641.0,3,3,1,1,1,1,1
643.0,1,1,1,1,1,1,1
645.0,1,1,1,3,1,1,1
647.0,1,1,1,1,1,1,1
651.0,5,5,5,1,1,5,5
652.0,1,3,5,1,5,1,3
661.0,3,3,3,3,3,3,3
672.0,1,1,1,1,5,1,1
675.0,1,3,5,1,1,1,5
682.0,3,3,5,1,3,1,3
700.0,1,5,5,3,1,1,3
709.0,3,3,3,3,3,3,3
711.0,3,3,3,3,1,1,3
712.0,3,3,3,3,3,3,3
718.0,1,3,1,1,3,1,3
725.0,1,1,1,1,1,1,1
744.0,1,1,3,1,5,1,3
768.0,1,3,1,1,1,1,5
779.0,1,1,5,1,1,1,3
788.0,5,5,5,5,3,1,5
789.0,3,3,1,3,3,1,1
796.0,1,5,5,1,1,1,1
