region,value
alaska,27
alabama,81
arkansas,53
arizona,194
california,1536
colorado,281
connecticut,114
delaware,32
florida,660
georgia,287
hawaii,119
iowa,75
idaho,39
illinois,398
indiana,153
kansas,42
kentucky,87
louisiana,93
massachusetts,313
maryland,231
maine,99
michigan,285
minnesota,155
missouri,169
mississippi,42
montana,27
north carolina,261
north dakota,18
nebraska,48
new hampshire,62
new jersey,289
new mexico,125
nevada,101
new york,1008
ohio,378
oklahoma,74
oregon,303
pennsylvania,459
rhode island,33
south carolina,108
south dakota,20
tennessee,167
texas,635
utah,119
virginia,232
vermont,51
washington,346
wisconsin,155
west virginia,50
wyoming,22
